sepal_length,ce_sepal_length,delta_sepal_length,changed_sepal_length,sepal_width,ce_sepal_width,delta_sepal_width,changed_sepal_width,petal_length,ce_petal_length,delta_petal_length,changed_petal_length,petal_width,ce_petal_width,delta_petal_width,changed_petal_width,pred_orig,dist_l2,num_features_changed
5.9,5.9,0.0,0,3.2,3.1811191095270424,-0.018880890472957823,1,4.8,4.8,0.0,0,1.8,1.8464946272619522,0.04649462726195219,1,Iris-versicolor,0.05018205246180847,2
5.7,5.1998496369388265,-0.5001503630611737,1,2.6,3.1461707882159424,0.5461707882159423,1,3.5,3.5,0.0,0,1.0,0.5993280827070249,-0.40067191729297513,1,Iris-versicolor,0.8420159742415083,3
6.1,6.1,0.0,0,2.6,2.6,0.0,0,5.6,5.564596552586571,-0.0354034474134286,1,1.4,1.34373906047962,-0.056260939520379916,1,Iris-virginica,0.06647328338867617,2
4.6,4.6,0.0,0,3.1,2.39812036989043,-0.7018796301095702,1,1.5,1.6630993736017938,0.16309937360179383,1,0.2,0.820388692511403,0.620388692511403,1,Iris-setosa,0.950851487156671,3
6.3,6.3,0.0,0,2.7,2.7,0.0,0,4.9,4.9,0.0,0,1.8,1.6133402846500733,-0.18665971534992676,1,Iris-virginica,0.18665971534992676,1
6.9,6.9,0.0,0,3.2,3.2,0.0,0,5.7,5.135939596477708,-0.5640604035222925,1,2.3,1.649319809952956,-0.6506801900470438,1,Iris-virginica,0.8611323060606821,2
5.5,5.0342122059627,-0.46578779403729964,1,2.4,3.218393413585886,0.8183934135858859,1,3.7,3.594824063269826,-0.10517593673017434,1,1.0,0.7377416323554333,-0.26225836764456667,1,Iris-versicolor,0.9831416365618716,4
7.6,7.6,0.0,0,3.0,3.0,0.0,0,6.6,6.129472292236196,-0.4705277077638037,1,2.1,1.036275843718407,-1.0637241562815931,1,Iris-virginica,1.1631446188804069,2
7.4,7.4,0.0,0,2.8,2.6437692850406638,-0.15623071495933605,1,6.1,5.946602045976313,-0.15339795402368672,1,1.9,1.2774785796691255,-0.6225214203308744,1,Iris-virginica,0.6599029378371698,3
5.5,5.5,0.0,0,4.2,3.0586881376577217,-1.1413118623422784,1,1.4,1.4,0.0,0,0.2,1.4230283202615235,1.2230283202615235,1,Iris-setosa,1.6728392150128844,2
6.7,6.7,0.0,0,3.3,3.3,0.0,0,5.7,5.357644864121218,-0.3423551358787824,1,2.1,1.6206694389510177,-0.4793305610489824,1,Iris-virginica,0.5890372024058513,2
5.0,5.0,0.0,0,3.6,2.8295443157191156,-0.7704556842808845,1,1.4,1.4,0.0,0,0.2,1.3797202629160537,1.1797202629160537,1,Iris-setosa,1.4090215967739632,2
4.8,4.8,0.0,0,3.4,2.6233273229297134,-0.7766726770702865,1,1.9,2.4840388579436405,0.5840388579436406,1,0.2,0.6511365566736678,0.45113655667366775,1,Iris-setosa,1.071375763988999,3
6.4,6.4,0.0,0,2.7,2.7,0.0,0,5.3,4.940030072922449,-0.35996992707755116,1,1.9,1.5506368421197863,-0.34936315788021366,1,Iris-virginica,0.5016303065846925,2
7.2,7.2,0.0,0,3.0,3.0,0.0,0,5.8,5.8,0.0,0,1.6,1.326258422835331,-0.2737415771646692,1,Iris-virginica,0.2737415771646692,1
5.0,5.29626174019594,0.2962617401959404,1,3.0,2.680514812380163,-0.3194851876198368,1,1.6,1.6,0.0,0,0.2,0.9123061674799826,0.7123061674799827,1,Iris-setosa,0.8349981317598443,3
4.7,4.7,0.0,0,3.2,2.4814245598034557,-0.7185754401965445,1,1.3,1.7564364453292198,0.4564364453292198,1,0.2,0.8964305336208269,0.696430533620827,1,Iris-setosa,1.0998638006761663,3
5.4,5.679811027387915,0.27981102738791463,1,3.4,2.691371197838154,-0.7086288021618459,1,1.7,1.7,0.0,0,0.2,0.7434782144468655,0.5434782144468655,1,Iris-setosa,0.9358512487994906,3
7.2,7.018794532465987,-0.18120546753401356,1,3.2,3.465770147323304,0.2657701473233036,1,6.0,6.0,0.0,0,1.8,1.279982405059885,-0.5200175949401151,1,Iris-virginica,0.6114634017827826,3
6.0,6.089963524210896,0.08996352421089604,1,3.4,3.4,0.0,0,4.5,4.719810000636001,0.2198100006360013,1,1.6,1.9964128329230113,0.3964128329230112,1,Iris-versicolor,0.46211795699160035,3
